                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7545,                 8.1493,                 1.8542,                      0,                      0,                      0,                      0,                  2.901,                  4.941,                 1.2228,               0.070882,              0.0032353,              0.0032353
                      1,                 2.9961,                 5.3692,                 1.2292,                0.00229,                0.05095,                0.00588,                0.00209,                   2.41,                 4.2383,                 1.1137,               0.040817,              0.0065036,              0.0065036
                      2,                 2.8031,                 4.2155,                 1.1651,                0.38019,                 0.1178,                0.16588,                0.06131,                 2.5963,                 3.4983,                 1.2412,               0.010686,              0.0097059,              0.0097059
                      3,                 2.7331,                 3.6564,                 1.1154,                0.49913,                0.18659,                0.21109,                0.07934,                 2.4783,                 2.7414,                 1.2034,               0.009703,               0.009703,               0.009703
                      4,                 2.5491,                 3.2695,                 1.0947,                0.20705,                0.39103,                0.23138,                0.09679,                 2.2979,                 2.7665,                 1.1006,               0.009703,               0.009703,               0.009703
                      5,                 2.4402,                 2.9026,                 1.0789,                 0.3649,                0.36428,                0.30305,                0.10613,                 2.5221,                 2.3673,                 1.1754,               0.009604,               0.009604,               0.009604
                      6,                  2.367,                 2.6234,                 1.0464,                0.49599,                0.34239,                0.34359,                 0.1562,                 2.0848,                 2.1903,                 1.0585,               0.009505,               0.009505,               0.009505
                      7,                 2.2602,                 2.3635,                   1.03,                 0.6008,                0.42175,                0.45836,                0.20914,                 1.9776,                 1.8333,                 1.0093,               0.009406,               0.009406,               0.009406
                      8,                 2.2512,                 2.1841,                 1.0309,                0.62355,                0.56025,                0.56565,                0.23195,                 2.0555,                 1.6726,                 1.0234,               0.009307,               0.009307,               0.009307
                      9,                 2.1972,                 2.0855,                 1.0186,                0.45249,                0.47978,                0.41604,                0.12456,                  2.392,                 1.8505,                 1.0861,               0.009208,               0.009208,               0.009208
                     10,                 2.1684,                 1.9626,                  1.012,                0.56396,                 0.4827,                0.52996,                0.21471,                 2.0441,                 1.7277,                 1.0147,               0.009109,               0.009109,               0.009109
